,cinahl_no,medline_no,cinahl_title,medline_title,cinahl_author,medline_author,not_dup
1581,3263,11843,Inhaled corticosteroids for subacute cough in children.,Inhaled corticosteroids for subacute cough in children.,"Anderson-James S; Marchant JM; Acworth JP; Turner C; Chang AB; Cochrane Database of Systematic Reviews, 2013; (2): N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 23450591 CINAHL AN: 201204415","Anderson-James S(1), Marchant JM, Acworth JP, Turner C, Chang AB.",
1582,3264,9958,Interventions for promoting reintegration and reducing harmful behaviour and lifestyles in street-connected children and young people.,Interventions for promoting reintegration and reducing harmful behaviour and lifestyles in street-connected children and young people.,"Coren E; Hossain R; Pardo Pardo J; Veras MM; Chakraborty K; Harris H; Martin AJ; Cochrane Database of Systematic Reviews, 2013; (2): N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 23450609 CINAHL AN: 201204414","Coren E(1), Hossain R, Pardo JP, Veras MM, Chakraborty K, Harris H, Martin AJ.",
1583,3265,11845,Interventions for smoking cessation and reduction in individuals with schizophrenia.,Interventions for smoking cessation and reduction in individuals with schizophrenia.,"Tsoi DT; Porwal M; Webster AC; Cochrane Database of Systematic Reviews, 2013; (2): N.PAG. (journal article - meta analysis, research, systematic review) ISSN: 1469-493X PMID: 23450574 CINAHL AN: 201084153","Tsoi DT(1), Porwal M, Webster AC.",
1584,3268,11849,Methadone at tapered doses for the management of opioid withdrawal.,Methadone at tapered doses for the management of opioid withdrawal.,"Amato L; Davoli M; Minozzi S; Ferroni E; Ali R; Ferri M; Cochrane Database of Systematic Reviews, 2013; (2): N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 23450540 CINAHL AN: 200982345","Amato L(1), Davoli M, Minozzi S, Ferroni E, Ali R, Ferri M.",
1585,3270,11840,Non pharmacological interventions for spasticity in multiple sclerosis.,Non pharmacological interventions for spasticity in multiple sclerosis.,"Amatya B; Khan F; La Mantia L; Demetrios M; Wade DT; Cochrane Database of Systematic Reviews, 2013; (2): N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 23450612 CINAHL AN: 201204416","Amatya B(1), Khan F, La Mantia L, Demetrios M, Wade DT.",
1586,3271,11848,Nutritional interventions for reducing morbidity and mortality in people with HIV.,Nutritional interventions for reducing morbidity and mortality in people with HIV.,"Grobler L; Siegfried N; Visser ME; Mahlungulu SS; Volmink J; Cochrane Database of Systematic Reviews, 2013; (2): N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 23450554 CINAHL AN: 200982277","Grobler L(1), Siegfried N, Visser ME, Mahlungulu SS, Volmink J.",
1587,3272,11842,Optimal timing for antiretroviral therapy initiation in patients with HIV infection and concurrent cryptococcal meningitis.,Optimal timing for antiretroviral therapy initiation in patients with HIV infection and concurrent cryptococcal meningitis.,"Njei B; Kongnyuy EJ; Kumar S; Okwen MP; Sankar MJ; Mbuagbaw L; Cochrane Database of Systematic Reviews, 2013; (2): N.PAG. (journal article - meta analysis, research, systematic review) ISSN: 1469-493X PMID: 23450595 CINAHL AN: 201204413","Njei B(1), Kongnyuy EJ, Kumar S, Okwen MP, Sankar MJ, Mbuagbaw L.",
1588,3274,11847,Preoperative chemoradiation versus radiation alone for stage II and III resectable rectal cancer.,Preoperative chemoradiation versus radiation alone for stage II and III resectable rectal cancer.,"De CaluwÃ© L; Van Nieuwenhove Y; Ceelen WP; Cochrane Database of Systematic Reviews, 2013; (2): N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 23450565 CINAHL AN: 201023105","De CaluwÃ© L(1), Van Nieuwenhove Y, Ceelen WP.",
1589,3275,11850,Pulmonary artery catheters for adult patients in intensive care.,Pulmonary artery catheters for adult patients in intensive care.,"Rajaram SS; Desai NK; Kalra A; Gajera M; Cavanaugh SK; Brampton W; Young D; Harvey S; Rowan K; Cochrane Database of Systematic Reviews, 2013; (2): N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 23450539 CINAHL AN: 200982483","Rajaram SS(1), Desai NK, Kalra A, Gajera M, Cavanaugh SK, Brampton W, Young D, Harvey S, Rowan K.",
1590,3276,11844,Surgical cytoreduction for recurrent epithelial ovarian cancer.,Surgical cytoreduction for recurrent epithelial ovarian cancer.,"Al Rawahi T; Lopes AD; Bristow RE; Bryant A; Elattar A; Chattopadhyay S; Galaal K; Cochrane Database of Systematic Reviews, 2013; (2): N.PAG. (journal article - meta analysis, research, systematic review) ISSN: 1469-493X PMID: 23450588 CINAHL AN: 201204416","Al Rawahi T(1), Lopes AD, Bristow RE, Bryant A, Elattar A, Chattopadhyay S, Galaal K.",
1591,3279,12002,Paclitaxel-based versus docetaxel-based regimens in metastatic breast cancer: a systematic review and meta-analysis of randomized controlled trials.,Paclitaxel-based versus docetaxel-based regimens in metastatic breast cancer: a systematic review and meta-analysis of randomized controlled trials.,"Qi WX; Shen Z; Lin F; Sun YJ; Min DL; Tang LN; He AN; Yao Y; Current Medical Research & Opinion, 2013 Feb; 29 (2): 117-25. (journal article - meta analysis, research, systematic review) ISSN: 0300-7995 PMID: 23216340 CINAHL AN: 201189761","Qi WX(1), Shen Z, Lin F, Sun YJ, Min DL, Tang LN, He AN, Yao Y.",
1592,3285,12061,Cochrane review on 'Statins for the treatment of dementia'.,Cochrane review on 'Statins for the treatment of dementia'.,"McGuinness B; O'Hare J; Craig D; Bullock R; Malouf R; Passmore P; International Journal of Geriatric Psychiatry, 2013 Feb; 28 (2): 119-26. (journal article - meta analysis, research, systematic review) ISSN: 0885-6230 PMID: 22473869 CINAHL AN: 201189648","McGuinness B(1), O'Hare J, Craig D, Bullock R, Malouf R, Passmore P.",
1593,3293,12104,Infectious risk of endovaginal and transrectal ultrasonography: systematic review and meta-analysis.,Infectious risk of endovaginal and transrectal ultrasonography: systematic review and meta-analysis.,"Leroy S; Journal of Hospital Infection, 2013 Feb; 83 (2): 99-106. (journal article - meta analysis, research, systematic review) ISSN: 0195-6701 PMID: 22981638 CINAHL AN: 201191969",Leroy S(1).,
1594,3294,12108,Human papillomavirus infection and laryngeal cancer risk: a systematic review and meta-analysis.,Human papillomavirus infection and laryngeal cancer risk: a systematic review and meta-analysis.,"Li X; Gao L; Li H; Gao J; Yang Y; Zhou F; Gao C; Li M; Jin Q; Journal of Infectious Diseases, 2013 Feb; 207 (3): 479-88. (journal article - meta analysis, research, systematic review) ISSN: 0022-1899 PMID: 23175764 CINAHL AN: 201189600","Li X(1), Gao L, Li H, Gao J, Yang Y, Zhou F, Gao C, Li M, Jin Q.",
1595,3297,12119,Do community specialist palliative care services that provide home nursing increase rates of home death for people with life-limiting illnesses? A systematic review and meta-analysis of comparative studies.,Do community specialist palliative care services that provide home nursing increase rates of home death for people with life-limiting illnesses? A systematic review and meta-analysis of comparative studies.,"Luckett T; Davidson PM; Lam L; Phillips J; Currow DC; Agar M; Journal of Pain & Symptom Management, 2013 Feb; 45 (2): 279-97. (journal article - meta analysis, research, systematic review) ISSN: 0885-3924 PMID: 22917710 CINAHL AN: 201227472","Luckett T(1), Davidson PM, Lam L, Phillips J, Currow DC, Agar M.",
1596,3309,12224,Endovascular treatment of intracranial aneurysms with flow diverters: a meta-analysis.,Endovascular treatment of intracranial aneurysms with flow diverters: a meta-analysis.,"Brinjikji W; Murad MH; Lanzino G; Cloft HJ; Kallmes DF; Stroke (00392499), 2013 Feb; 44 (2): 442-7. (journal article - meta analysis, research, systematic review) ISSN: 0039-2499 PMID: 23321438 CINAHL AN: 201190112","Brinjikji W(1), Murad MH, Lanzino G, Cloft HJ, Kallmes DF.",
1597,3310,12226,Statin therapy and outcome after ischemic stroke: systematic review and meta-analysis of observational studies and randomized trials.,Statin therapy and outcome after ischemic stroke: systematic review and meta-analysis of observational studies and randomized trials.,"NÃ_ ChrÃ_inÃ_n D; Asplund K; Asberg S; Callaly E; Cuadrado-Godia E; DÃ_ez-Tejedor E; Di Napoli M; Engelter ST; Furie KL; Giannopoulos S; et al.; Stroke (00392499), 2013 Feb; 44 (2): 448-56. (journal article - meta analysis, research, systematic review) ISSN: 0039-2499 PMID: 23287777 CINAHL AN: 201190109","NÃ_ ChrÃ_inÃ_n D(1), Asplund K, Ã…sberg S, Callaly E, Cuadrado-Godia E, DÃ_ez-Tejedor  E, Di Napoli M, Engelter ST, Furie KL, Giannopoulos S, Gotto AM Jr, Hannon N, Jonsson F, Kapral MK, MartÃ_-FÃ bregas J, MartÃ_nez-SÃ¡nchez P, Milionis HJ, Montaner J, Muscari A, Pikija S, Probstfield J, Rost NS, Thrift AG, Vemmos K, Kelly PJ.",
1598,3315,11904,Rates of radiolucency and loosening after total shoulder arthroplasty with pegged or keeled glenoid components.,Rates of radiolucency and loosening after total shoulder arthroplasty with pegged or keeled glenoid components.,"Vavken P; Sadoghi P; von Keudell A; Rosso C; Valderrabano V; MÃ_ller AM; Journal of Bone & Joint Surgery, American Volume, 2013 Feb 6; 95 (3): 215-21. (journal article - meta analysis, research, systematic review) ISSN: 0021-9355 PMID: 23389784 CINAHL AN: 201193171","Vavken P(1), Sadoghi P, von Keudell A, Rosso C, Valderrabano V, MÃ_ller AM.",
1599,3316,11897,Reduced risk of colorectal cancer with use of oral bisphosphonates: a systematic review and meta-analysis.,Reduced risk of colorectal cancer with use of oral bisphosphonates: a systematic  review and meta-analysis.,"Thosani N; Thosani SN; Kumar S; Nugent Z; Jimenez C; Singh H; Guha S; Journal of Clinical Oncology, 2013 Feb 10; 31 (5): 623-30. (journal article - meta analysis, research, systematic review) ISSN: 0732-183X PMID: 23269990 CINAHL AN: 201193252","Thosani N(1), Thosani SN, Kumar S, Nugent Z, Jimenez C, Singh H, Guha S.",
1600,3317,12047,Specialist clinics for reducing emergency admissions in patients with heart failure: a systematic review and meta-analysis of randomised controlled trials.,Specialist clinics for reducing emergency admissions in patients with heart failure: a systematic review and meta-analysis of randomised controlled trials.,"Thomas R; Huntley A; Mann M; Huws D; Paranjothy S; Elwyn G; Purdy S; Heart, 2013 Feb; 99 (4): 233-9. (journal article - meta analysis, research, systematic review) ISSN: 1355-6037 PMID: 23355639 CINAHL AN: 201191181","Thomas R(1), Huntley A, Mann M, Huws D, Paranjothy S, Elwyn G, Purdy S.",
1601,3337,11603,A pooled analysis of MRI in the detection of bone marrow infiltration in patients with malignant lymphoma.,A pooled analysis of MRI in the detection of bone marrow infiltration in patients with malignant lymphoma.,"Jiang XX; Yan ZX; Song YY; Zhao WL; Clinical Radiology, 2013 Mar; 68 (3): e143-53. (journal article - meta analysis, research, systematic review) ISSN: 0009-9260 PMID: 23245271 CINAHL AN: 201192011","Jiang XX(1), Yan ZX, Song YY, Zhao WL.",
1602,3339,11463,Co-formulated abacavir-lamivudine-zidovudine for initial treatment of HIV infection and AIDS.,Co-formulated abacavir-lamivudine-zidovudine for initial treatment of HIV infection and AIDS.,"Shey MS; Kongnyuy EJ; Alobwede SM; Wiysonge CS; Cochrane Database of Systematic Reviews, 2013; (3): N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 23543540 CINAHL AN: 201034886","Shey MS(1), Kongnyuy EJ, Alobwede SM, Wiysonge CS.",
1603,3340,11462,Corticosteroids for preventing postherpetic neuralgia.,Corticosteroids for preventing postherpetic neuralgia.,"Han Y; Zhang J; Chen N; He L; Zhou M; Zhu C; Cochrane Database of Systematic Reviews, 2013; (3): N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 23543541 CINAHL AN: 200990131","Han Y(1), Zhang J, Chen N, He L, Zhou M, Zhu C.",
1604,3342,11470,Dressings for superficial and partial thickness burns.,Dressings for superficial and partial thickness burns.,"Wasiak J; Cleland H; Campbell F; Spinks A; Cochrane Database of Systematic Reviews, 2013; (3): N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 23543513 CINAHL AN: 201023100","Wasiak J(1), Cleland H, Campbell F, Spinks A.",
1605,3343,11471,Early trophic feeding versus enteral fasting for very preterm or very low birth weight infants.,Early trophic feeding versus enteral fasting for very preterm or very low birth weight infants.,"Morgan J; Bombell S; McGuire W; Cochrane Database of Systematic Reviews, 2013; (3): N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 23543508 CINAHL AN: 200982254","Morgan J(1), Bombell S, McGuire W.",
1606,3345,11454,Inhaled corticosteroids for subacute and chronic cough in adults.,Inhaled corticosteroids for subacute and chronic cough in adults.,"Johnstone KJ; Chang AB; Fong KM; Bowman RV; Yang IA; Cochrane Database of Systematic Reviews, 2013; (3): N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 23543575 CINAHL AN: 201207059","Johnstone KJ(1), Chang AB, Fong KM, Bowman RV, Yang IA.",
1607,3347,11465,Megestrol acetate for treatment of anorexia-cachexia syndrome.,Megestrol acetate for treatment of anorexia-cachexia syndrome.,"Ruiz Garcia V; LÃ_pez-Briz E; Carbonell Sanchis R; Gonzalvez Perales JL; Bort-Marti S; Cochrane Database of Systematic Reviews, 2013; (3): N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 23543530 CINAHL AN: 200982445","Ruiz Garcia V(1), LÃ_pez-Briz E, Carbonell Sanchis R, Gonzalvez Perales JL, Bort-Marti S.",
1608,3349,11457,Multidimensional rehabilitation programmes for adult cancer survivors.,Multidimensional rehabilitation programmes for adult cancer survivors.,"Scott DA; Mills M; Black A; Cantwell M; Campbell A; Cardwell CR; Porter S; Donnelly M; Cochrane Database of Systematic Reviews, 2013; (3): N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 23543556 CINAHL AN: 201207061","Scott DA(1), Mills M, Black A, Cantwell M, Campbell A, Cardwell CR, Porter S, Donnelly M.",
1609,3350,11468,Operative caries management in adults and children.,Operative caries management in adults and children.,"Ricketts D; Lamont T; Innes NP; Kidd E; Clarkson JE; Cochrane Database of Systematic Reviews, 2013; (3): N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 23543523 CINAHL AN: 200982485","Ricketts D(1), Lamont T, Innes NP, Kidd E, Clarkson JE.",
1610,3351,11456,Oxcarbazepine for neuropathic pain.,Oxcarbazepine for neuropathic pain.,"Zhou M; Chen N; He L; Yang M; Zhu C; Wu F; Cochrane Database of Systematic Reviews, 2013; (3): N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 23543558 CINAHL AN: 201207059","Zhou M(1), Chen N, He L, Yang M, Zhu C, Wu F.",
1611,3352,11461,Parenting interventions for the prevention of unintentional injuries in childhood.,Parenting interventions for the prevention of unintentional injuries in childhood.,"Kendrick D; Mulvaney CA; Ye L; Stevens T; Mytton JA; Stewart-Brown S; Cochrane Database of Systematic Reviews, 2013; (3): N.PAG. (journal article - research, systematic review) ISSN: 1469-493X PMID: 23543542 CINAHL AN: 200982514","Kendrick D(1), Mulvaney CA, Ye L, Stevens T, Mytton JA, Stewart-Brown S.",
